2020/02/04 1:08:48
number,Time,TimeDifference,Distance
1,2.756577,2.756577,0
2,3.882721,1.126144,13.5772
3,5.651657,1.768936,9.00617
4,6.038845,0.387188,1.827643
5,7.824566,1.785721,6.708205
6,8.968849,1.144283,17.4071
7,10.98943,2.020584,10.92017
8,11.9134,0.9239655,4.882651
9,14.63957,2.72617,7.141915
10,15.12959,0.4900208,5.29216
11,16.92774,1.798153,17.4071
12,20.16117,3.233433,8.670273
13,21.80189,1.640713,5.540257
14,22.96567,1.16378,5.068969
15,25.25446,2.288792,13.09819
16,27.5745,2.320038,14.8943
17,29.52578,1.951283,12.59657
18,30.26865,0.7428703,6.082763
19,32.50551,2.236862,5.38581
20,33.11239,0.6068802,1.536591
21,34.01995,0.9075546,3.764786
22,34.71076,0.6908112,3.162278
23,36.90191,2.191147,8.043285
24,37.44049,0.5385818,6.80737
25,38.01432,0.5738297,1.003466
Click count,1
